Date,Ball1,Ball2,Ball3,Ball4,Ball5,xBall1,xBall2
30/05/2017,3,10,25,32,43,1,3
06/06/2017,6,12,35,39,49,4,9
13/06/2017,2,9,23,36,47,2,9
20/06/2017,24,25,28,35,48,4,8
27/06/2017,6,29,38,45,47,2,3
04/07/2017,5,8,21,24,26,4,5
11/07/2017,1,24,30,31,47,7,9
18/07/2017,14,16,21,25,26,8,10
25/07/2017,7,16,18,19,24,1,6
01/08/2017,4,29,30,31,45,1,7
08/08/2017,1,2,11,19,47,2,7
15/08/2017,15,20,24,44,49,7,9
22/08/2017,4,9,15,24,42,8,9
29/08/2017,22,31,43,44,50,1,9
05/09/2017,14,16,21,30,37,4,8
12/09/2017,18,21,37,43,47,1,3
19/09/2017,1,6,11,17,38,4,8
26/09/2017,3,9,10,19,42,1,7
03/10/2017,5,7,15,19,29,3,8
10/10/2017,20,27,33,35,46,5,9
17/10/2017,8,26,38,47,50,3,7
24/10/2017,10,12,35,36,43,2,5
31/10/2017,7,8,20,35,38,5,9
07/11/2017,8,23,40,41,42,2,10
14/11/2017,20,27,37,41,45,1,7
21/11/2017,18,25,26,35,38,5,6
28/11/2017,1,15,34,48,50,6,10
05/12/2017,31,36,40,42,45,7,9
12/12/2017,31,32,45,47,49,7,9
19/12/2017,3,8,30,46,48,1,3
26/12/2017,6,11,38,41,44,9,10
02/01/2018,2,4,20,21,49,9,10
09/01/2018,7,20,35,42,44,3,7
16/01/2018,15,18,19,41,42,4,6
23/01/2018,10,18,32,35,46,3,10
30/01/2018,21,24,29,30,50,1,5
06/02/2018,3,21,22,33,47,2,9
13/02/2018,17,21,41,48,49,4,8
20/02/2018,21,24,26,34,47,4,6
27/02/2018,15,19,20,45,49,7,8
06/03/2018,8,12,13,39,44,4,9
13/03/2018,6,9,31,43,44,6,9
20/03/2018,2,30,34,35,45,1,2
27/03/2018,3,17,31,34,40,1,2
03/04/2018,14,20,23,39,49,4,10
10/04/2018,10,19,24,30,39,2,4
17/04/2018,3,12,24,37,38,3,7
24/04/2018,2,3,30,31,45,6,8
01/05/2018,8,14,23,30,45,1,9
08/05/2018,25,31,38,49,50,5,10
15/05/2018,12,20,21,22,35,4,10
22/05/2018,7,12,28,34,45,3,6
29/05/2018,6,27,30,35,41,4,5
05/06/2018,4,14,25,34,49,4,9
12/06/2018,1,23,32,45,49,5,10
19/06/2018,5,12,20,29,48,7,9
26/06/2018,1,7,12,23,39,3,4
03/07/2018,7,16,22,34,44,3,4
10/07/2018,2,6,30,32,49,1,4
17/07/2018,2,13,39,45,47,4,6
24/07/2018,12,22,24,29,38,5,6
31/07/2018,15,19,35,36,41,5,10
07/08/2018,1,7,29,39,42,7,8
14/08/2018,9,14,28,30,37,3,10
21/08/2018,13,19,23,34,41,3,8
28/08/2018,3,21,26,40,41,8,10
04/09/2018,2,7,8,43,50,2,3
11/09/2018,1,18,23,33,41,2,6
18/09/2018,6,13,15,34,35,1,5
25/09/2018,6,11,12,21,41,1,2
02/10/2018,9,11,15,36,43,8,9
09/10/2018,21,27,29,34,49,8,10
16/10/2018,12,15,32,40,45,7,10
23/10/2018,8,22,31,32,36,6,10
30/10/2018,9,16,17,29,39,1,8
06/11/2018,7,16,22,30,48,2,8
13/11/2018,2,22,33,38,47,2,9
20/11/2018,14,16,32,34,47,7,9
27/11/2018,12,34,36,47,48,5,7
04/12/2018,5,6,9,15,29,4,9
11/12/2018,13,21,25,34,35,5,10
18/12/2018,7,11,19,32,43,2,8
25/12/2018,3,19,28,43,49,2,3
01/01/2019,4,9,15,24,28,2,6
08/01/2019,9,20,27,35,48,5,9
15/01/2019,26,27,30,46,49,1,2
22/01/2019,8,11,22,38,41,4,7
29/01/2019,5,23,28,38,49,3,9
05/02/2019,2,5,24,43,45,4,10
12/02/2019,7,12,14,40,42,7,8
19/02/2019,1,7,9,29,46,9,10
26/02/2019,15,19,34,39,49,2,7
05/03/2019,1,11,17,23,29,1,8
12/03/2019,5,11,35,44,50,4,10
19/03/2019,17,21,23,37,45,7,9
26/03/2019,11,19,24,33,39,1,4
02/04/2019,5,12,26,47,50,2,3
09/04/2019,5,17,21,37,38,1,4
16/04/2019,18,20,34,49,50,7,8
23/04/2019,1,2,22,25,30,5,10
30/04/2019,1,27,37,40,41,7,10
07/05/2019,4,13,15,41,49,1,9
14/05/2019,4,17,27,28,50,5,8
21/05/2019,7,10,19,26,42,1,9
28/05/2019,17,36,38,43,46,4,6
04/06/2019,8,22,25,38,50,8,9
11/06/2019,10,19,32,36,46,4,6
18/06/2019,38,40,41,46,48,2,6
25/06/2019,16,30,33,36,43,4,8
02/07/2019,2,3,16,33,46,2,10
09/07/2019,15,18,24,27,44,2,7
16/07/2019,27,35,36,38,41,5,7
23/07/2019,3,13,24,29,32,1,7
30/07/2019,9,23,34,40,42,1,4
06/08/2019,6,11,18,26,34,5,8
13/08/2019,3,11,19,34,37,8,9
20/08/2019,7,38,41,44,50,1,8
27/08/2019,1,3,4,36,43,2,3
03/09/2019,11,18,23,29,32,3,7
10/09/2019,12,19,20,28,31,6,9
17/09/2019,3,6,11,14,49,1,5
24/09/2019,23,27,34,40,43,5,7
01/10/2019,3,7,19,27,29,7,10
08/10/2019,1,15,29,42,50,3,6
15/10/2019,2,12,15,33,39,4,9
22/10/2019,15,26,35,37,43,3,8
29/10/2019,13,17,26,49,50,1,7
05/11/2019,8,20,23,48,50,8,9
12/11/2019,11,14,44,46,49,7,10
19/11/2019,4,17,22,30,47,1,8
26/11/2019,4,5,10,25,31,4,6
03/12/2019,8,14,15,20,31,8,9
10/12/2019,9,14,24,37,39,4,9
17/12/2019,13,33,42,48,50,3,9
24/12/2019,5,14,39,43,44,1,6
31/12/2019,16,19,21,29,36,1,7
07/01/2020,4,31,39,43,46,1,4
14/01/2020,8,31,34,36,45,8,10
21/01/2020,19,20,22,25,42,4,6
28/01/2020,5,9,20,44,48,4,10
04/02/2020,2,14,18,23,42,5,10
11/02/2020,14,17,20,27,32,3,7
18/02/2020,12,22,35,38,49,5,10
25/02/2020,20,33,34,37,39,4,8
03/03/2020,20,28,32,38,46,6,8
10/03/2020,2,6,8,21,25,6,9
17/03/2020,15,33,34,38,43,3,7
24/03/2020,11,23,37,38,44,4,8
31/03/2020,6,13,25,31,49,2,7
07/04/2020,4,30,43,44,46,1,3
14/04/2020,6,12,20,21,34,4,5
21/04/2020,7,17,21,37,39,3,5
28/04/2020,2,5,13,15,23,6,8
05/05/2020,8,9,30,34,48,5,8
12/05/2020,6,8,16,44,50,1,10
19/05/2020,3,17,21,35,42,8,9
26/05/2020,7,16,36,42,43,6,8
02/06/2020,8,17,21,23,47,2,6
09/06/2020,9,15,27,41,44,2,4
16/06/2020,2,5,9,29,32,2,4
23/06/2020,5,21,23,29,35,7,9
30/06/2020,12,18,27,33,41,9,10
07/07/2020,5,10,26,37,42,3,10
14/07/2020,5,10,25,29,32,4,7
21/07/2020,4,19,34,41,43,1,5
28/07/2020,1,17,20,36,49,6,9
04/08/2020,5,31,39,46,49,8,9
11/08/2020,1,8,33,38,43,2,6
18/08/2020,11,20,31,35,46,6,10
25/08/2020,10,15,18,24,39,2,11
01/09/2020,7,8,35,37,49,5,8
08/09/2020,9,10,28,38,48,8,12
15/09/2020,2,26,41,45,48,5,12
